<<<<<<< HEAD
,Teks,label
0,,2.0
1,,2.0
2,,2.0
3,,2.0
4,,2.0
5,,2.0
6,,2.0
7,,2.0
8,,2.0
9,,2.0
10,,2.0
11,,2.0
12,,2.0
13,,2.0
14,,2.0
15,,2.0
16,,2.0
17,,2.0
18,,2.0
19,,2.0
20,,2.0
21,,2.0
22,,2.0
23,,2.0
24,,2.0
25,,2.0
26,,2.0
27,,2.0
28,,2.0
29,,2.0
30,,2.0
31,,2.0
32,,2.0
33,,2.0
34,,2.0
35,,2.0
36,,2.0
37,,2.0
38,,2.0
39,,2.0
40,,2.0
41,,2.0
42,,2.0
43,,2.0
44,,2.0
45,,2.0
46,,2.0
47,,1.0
48,,1.0
49,,1.0
50,,1.0
51,,1.0
52,,1.0
53,,1.0
54,,1.0
55,,1.0
56,,1.0
57,,1.0
58,,1.0
59,,1.0
60,,1.0
61,,1.0
62,,1.0
63,,1.0
64,,1.0
65,,1.0
66,,1.0
67,,1.0
68,,1.0
69,,1.0
70,,1.0
71,,1.0
72,,1.0
73,,1.0
74,,1.0
75,,1.0
76,,1.0
77,,1.0
78,,1.0
79,,1.0
80,,1.0
81,,1.0
82,,1.0
83,,1.0
84,,1.0
85,,1.0
86,,1.0
87,,1.0
88,,1.0
89,,1.0
90,,1.0
91,,1.0
92,,1.0
93,,1.0
94,,1.0
95,,1.0
96,,1.0
97,,1.0
98,,1.0
99,,1.0
100,,1.0
101,,1.0
102,,1.0
103,,1.0
104,,1.0
105,,1.0
106,,1.0
107,,1.0
108,,1.0
109,,1.0
110,,1.0
111,,1.0
112,,1.0
113,,1.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
120,,0.0
121,,0.0
122,,0.0
123,,0.0
124,,0.0
125,,0.0
126,,0.0
127,,0.0
128,,0.0
129,,0.0
130,,0.0
131,,0.0
132,,0.0
133,,0.0
134,,0.0
135,,0.0
136,,0.0
137,,0.0
138,,0.0
139,,0.0
140,,0.0
141,,0.0
142,,0.0
143,,0.0
144,,0.0
145,,0.0
146,,0.0
147,,0.0
148,,0.0
149,,0.0
150,,0.0
151,,0.0
152,,0.0
153,,0.0
154,,0.0
155,,0.0
156,,0.0
157,,0.0
158,,0.0
159,,0.0
160,,0.0
161,,0.0
162,,0.0
163,,0.0
164,,0.0
165,,0.0
166,,0.0
167,,0.0
168,,0.0
169,,0.0
170,,0.0
171,,0.0
172,,0.0
173,,0.0
174,,0.0
175,,0.0
176,,0.0
177,,0.0
178,,0.0
179,,0.0
180,,0.0
181,,0.0
182,,0.0
183,,0.0
184,,0.0
185,,0.0
186,,0.0
187,,0.0
188,,0.0
189,,0.0
190,,0.0
191,,0.0
192,selamat anda mendapatkan voucher zalora rprb masukkan kode voucher tsu saat transaksi di mau voucher lain hub ,0.0
193,selamat anda telah mendapatkan bonus pulsa rp ke sesama indosat ooredoo berlaku hari dan poin senyum anda bertambah cek bonus ,0.0
194,selamat bergabung di tri nikmati kuota gb utk harikuota akan diperpanjang otomatis selama pulsa cukup nikmati bonus kuota berlipat hingga gb setiap perpanjangan kartu otomatis menjadi non aktif jika dlm waktu bln tdk ada aktivitas sama sekali,0.0
195,selamat paket sms ke semua operator anda telah aktif cek kuota di ,0.0
196,selamat paket anda telah aktif cek kuota di ,0.0
197,selamat paket bbm gratis anda telah diaktifkan paket bbm ini berlaku untuk hari,0.0
198,selamat paket flash mb hari rp telah diaktifkan berlaku sd tgl pk wib paket langsung diperpanjang pada akhir masa aktif paket dengan tarif sesuai lokasi anda cek statusberhenti berlangganan melalui info detail tarif lihat di tselmeinternet,0.0
199,selamat tambahan flash anda sudah aktif berlaku sd ,0.0
200,selamat anda berhak membeli paket pas untuk nelpon sms internetan video dan nsp pilih paketnya mulai rp di hanya berlaku hari ini info ,0.0
201,selamat anda sudah mengaktifkan instink utk dpt info menarik dari telkomsel info berhenti program cs,0.0
202,selamatanda telah mendapat gratis sms dari smsgift dari no info cs ,0.0
203,selamat anda mendapatkan kuota tsel sebesar sms cek kuota melalui info ,0.0
204,selamat anda telah membeli paket combo kenyang internet as cek bonus di ,0.0
205,sensasi seru main game yang belum pernah ada ayo bergabung dengan para heroes di game hit download gratis di httpbitlycjsxn,0.0
206,seru banget main ball pool pakai pulsa bisa banget loh bro untuk beli koin games lainnya cek caranya di httptselmejajanonline,0.0
207,smartfren gratis mi fimodem g tahun baru saatnya ganti gadget baru bawa pulang mi fi gm mu dg tunjukan sms ini ke galeri sf isi pulsa rb disana sd jan info,0.0
208,special promo bonus kuota mb hr cukup isi ulang mulai dari hari ini ayo buruan isi pulsa sekarang juga t,0.0
209,spesial untuk anda paket flash volume ultima kuota gbhr kuota lebih banyak harga mulai rprb di tarif lokasi cek di tselmefl,0.0
210,spesial untuk anda paket internet hemat kuota berlimpah hanya rp ribu kuota gb hari aktifkan sekarang juga di buruan skb,0.0
211,spesial utk kamu pelanggan setia indosat ooredoo bonus hari masa aktif menit telp dan sms cuma isi ulang sd desember bonus berlaku x,0.0
212,sticker line yang lucu lucu banyak banget loh beli yuk dengan pulsamu gampang banget coba yuk,0.0
213,super wow gratis gb buat kamu ckup dgn isi pulsa minimun rp ribu sd november hanya berlaku satu kali kesempatan berlaku akumulasi loh tlc,0.0
214,tambahan thr dr mataharimall kode thr utk diskon elektronik kode thr utk diskon lifestyle kode thr utk diskon fashion httpmthrmltselthr,0.0
215,terima kasih telah menggunakan paket data dari indosat info detail tekan ,0.0
216,terima kasih telah menjadi pelanggan setia indosatooredoo download video bonus gratis nelpon menit hubungi ,0.0
217,terima kasih telah menjadi sahabat indosatooredoo dapatkan video game seru gratis telp di ,0.0
218,terima kasih telah menjadi sahabat indosatooredoo kenalan tanpa batas dan bonus gratis nelpon menit hub lalu yaok,0.0
219,terima kasih telah menjadi sahabat indosatooredoo mau tahu rahasia terheboh artis artis top bonus gratis nelpon menittlp ,0.0
220,terima kasih telah menjadi sahabat indosatooredoo download video bonus gratis nelpon menit hubungi ,0.0
221,terima kasih tlh melakukan isi ulang tgl gratis nelpon menitvideo tekan lalu yesok,0.0
222,terkini ungkapin apa yang ada dipikiranmu lewat sticker line beli pake pulsa tsel httpsstorelineme download di stickershop,0.0
223,terus isi saldo tcashmu dan nikmati aneka promo di merchants partner tcash cek promo terbaru tcash di tselmetappromo,0.0
224,thank you for your appreciation trust in using telkomsel service for further feedback please advice text sms to freefor int'l charged,0.0
225,tingkatkan nilai isi ulang anda selanjutnya minimal rpribu untuk bisa mendapatkan paket murah pas di info ,0.0
226,tri berbagi bonus pulsa di bulan pernuh berkah isi pulsa min rb dapet bonus pulsa rb utk nelp ke nmr tri hanya hari ini saja ayo buruan isi pulsa t,0.0
227,trmksh anda tlh berhasil mengisi pulsa smartfren mau jualan pulsabayar listrikspeedytelkom hubagen barokahmp reloadpasti untung,
228,udah top up coins di line utk beli sticker atau themes beli skrg jg pake pulsa utk tambah koleksi mu cek caranya di httptselmejajanonline,
229,use my invite code nxmvfue and get a free ride up to rp redeem it at https,
230,wow diskon utk pembelian paket flash gb bonus menit cuma rprb utk hr di sekarang tunggu apalagi buruan s k berlaku,
231,wow promo diperpanjang sd agt khusus kamu tukar hp smartfrenmu dengan andromax e lte cuma rb dr rb ayo datangi gallery smartfren terdekat,
232,yang lain penuh batasankami beri kebebasa n double kuota bonus gbg unlimited nelp sms musik streaming gak pakai kuotacuma dg freedom combo daftar,
233,yuk dengerin secara langsung update keseharian seleb dr blog suaranya tlp gratis hr lalu rpmggcs vas,
234,yuk internet an ngebut utk akses fb twitter chatting dgn beli paket flash mbhr sesuai zona lokasi mulai rprb di cek tarif di tselmefl,
235,yuk temen belanja di google play mudah banget loh pakai pulsa juga bisa httptselmejajanonline,
236,yuk tetap gunakan flash volume ultima utk update informasi anda kuota mbhr mulai rprb di tarif lokasi cek di tselmefl,
237,mau nonton bioskop gratis bersama keluarga cigna berikan khusus untuk anda tunggu telepon dari kami info cigna klik bitlytentangcigna,
238,yuks internetan seru seruan dg flash volume ultima kuota gbhr mulai dari rprb sesuai zona lokasi hub info tarif lokasi lihat di tselmefl,
507,slmt no anda m dpt mobil avanza dr kartu as di undi td malam di metro tv pkl wib uinfo klik atauhub ,
508,slmt no anda m dpt mobil avanza dr kartu as di undi td malam di metro tv pkl infokunjungi almt kami webscomhubtsel,
509,slmtno anda mendpt hadiah rpjtdari telkomselpoin diundi tadi mlm pukulwib di rctiinfo hub drshsrianto pengirim ,
510,slmt no anda m dpt unit mobil all new avanzadari telkomselpoin pin pmenan anda bchuinfo lengkap kunjungi puskucom,
511,slmt no anda mndptkn hadiah grand prize uang 'rpjtdr telkomsel poin nopin gjk hub call center pengirim t sel,
512,smlt anda m ndpt hadiah toyota all new avanza dr telkomselpoin pin pemenang anda bch uinfo lebih lengkap kunjungi httpgebyartelkomseljuplocom,
513,solusi khusus pemegang kartu kredit nikmati kredit tanpa angunan dari bank asing jt jt hub lukman ,
514,solusi praktis khusus pemegang kartu kredit nikmati kemudahan kredit tanpa agunan jt dgn max pinj x limit hub fany abaikan jika tdk berminat ,
515,surat keputusan dari tri care indonesia noxv pin pemenang anda ytg mendapatkan hadiah cek tunai rp jt uinfo kunjungi ,
516,surat keputusan dari tri care indonesia noxv pin pemenang andahhh mendapatkan hadiah unit mobil honda jazz rsuinfo klikhttptri webnodecom,
517,surat keputusan dari tri care indonesia noxv pin pemenang andaytg mendapatkan hadiah cek tunai rpjuta uinfo klik undianwebnodecom,
518,surat keputusan dari tri care indonesia noxv\ pin pemenang anda ytg terpilih mendapatkan cek sebesar jt info kunjungi triwebnodecom,
519,surat keputusan dr tri care noxv pin pemenang andamcxj mendapat cek rp juta uinfo klik careindonesiatk,
520,surat keputusan dri pttri care noxv pin pemenan anda fc ber'hasil men dapatkan yunit mobil honda jazz rsuinfo kunjungi careblogspotcoid,
521,surat keputusan dri tri care noxv pin pemenang bfgs mdptkan hadiah honda jazz hub info pin klik ,
522,surat keputusan pttri care slamat noanda resmi meraih hadiah toyota yaris pin undianfbgs info hub klik tricarecom,
523,surat keputusan pttri simcard anda resmi m dptakan hadiah honda jazz rs pin undian bfgs info hub klik tricarecom,
524,surat keputusan pttri slamat noxxx resmi m dptkan honda jazz rs kode pinbfgs info hub klik tricarecom,
525,surat keputusan resmi dr tri care noxv pin pemenang andaxvf mendpt unit mobil honda jazz rs uinfo klik ,
526,surat keputusan resmi m kios noxv menyatakan noanda resmi meraih hadiah ke dri ptm kios pinmk uinfo klik ptmkiosblogspotcom,
527,surat keputusan resmi slmt'no sim card anda telah tpilih pemenang ke dri pt m tronik pin andafe uinfo klik ,
528,surat keputusan noviit kode undian ad selamat noanda mendpt hadiah cek tunai rpjt uinfo kunjungi ,
529,surat keputusan dari tricare indonesia no xv pin pemenang jf mendapatkan toyota yaris uinfo kunjungi webnodecom atau blogspotcom,
530,sy ajeng mendapat sms dari pt care indonesia uang tunai rp juta di website tetapi dimintai membayar administrasi rp jutasy juga di telpon pak bambang purwanto diberi nomer rekening tujuan pembayaran administrasi melalui bank bri an pt tri lestari bahkan dalam websitenya dicantumkan ktp marketing office pt care indonesia,
531,sy dr hj fatima sdh cocok mengenai rumah dan tanah bpkibu tlg jgn ditawarkan lg ke yg lain soal hrg negosiasi ke suami sy di dr h hendra irawan,
532,sy drrimbawandirmawa ipbythjajang roni aunul kholiknimedi minta hbngi skrng profdriryonny koesmaryonomsdi tunjuk hadir seminar pengembangan karakter mahasiswa dari dikti tgl april di htl nusa dua balitrims,
533,sy rudi di jambi bgi tman yg sering kalah togel saatnya kalahkan bandar hub mbah ros di jamin tembus sy sdh buktikan d jt,
534,sy rudy dri malaysia brencana investasikan uang sy sbagai bekal hidup di indosy butuh org yg bisa sy percayakan uang sy rm jtbila bsediasms di ,
535,terima kasih telah melakukan isi ulang di sunnytrx sukses sbsar snbyr plntelkom bisakami tnggu kedatangan anda kembali,
536,terima kasih telah melakukan pengisian di counter kami war pul cell info kami melayani pembayaran tagihan pln,
537,terpilih dapat cek jt kode triple cek anda uinfo klik website ,
538,togel sgp edisi senin angka jitu di jamin tbsstlh tbs anda harus krim plsa rb sebagai maharnya dkrm ke no ki karso,
539,toko bagus phone promo diskon blackberrydakota rpjt torchrp jt gemini rb infosmspin fc ,
540,toko bursa cuci gudang diskon bb dakota jt toch jt gemini jt laptop info pin bb afbe ,
541,toko jaya bb discount berbagai type blackberry gemini ribu torch jt dakota jta nokia samsung info klik ,
542,toko jember promo discon keyboard yahama dakota rp jt onix rp jt gemini rp rb infosms pin bb cd shopblogspotcom,
543,toko niaga cell disc khusus promo blackberry nokia samsung iphone dll info hubsms ke buka website kami cellblogspotcom,
544,toko rahmat abadi big sale blackberryiphone ipadsamsung laptopdll info hub sms pin abbee atau cek di shopblogspotcom,
545,tolong belikan dulu mama pulsa rb di no as baru mama soalnya teman mama kecelakaan skrg kluarganya hrus dihubungi nti mama ganti uangnyapenting,
546,tolong uangnya di kirim ke rekening ini ajabri an hasan mahmud rek sms aja klau sudah di kirimmakasih,
547,tolong uangnya di transfer aja kesini mandiri an rahmad adrian no rek sms aja kalo sdh dikirim trims,
548,tolong uangnya di transfer saja ke bank an ardiansyah kalau sudah ditransfer sms saja terima kasih,
549,tolong uangnya di transfer sekarang aja ke bank bni an friska ananda sms kalau sudah di transfer trimksi see more at httpmetropolitaninilahcomreaddetailawas modus penipuan sms model barusthashdkwneaedpuf,
550,tolong uangnya dikirim aja kesini bank danamon an farida hanum no rek sms aja klo udah dikirim trims,
551,tolong uangnya ditransfer saja ke bank xxx an xxx xxx kalau sudah ditransfer sms saja terima kasih,
552,top celluler discound bb dacota rp jt bb onyx rp jt bb gemini rp jt laptop\kamera iphone dll info kunjungi cellulercom pin bb aa,
553,tour travel dptkan tiket pesawat promo domestik internasional mudahaman booking online jam hub telp atau websete di airtravelcom,
554,transfer ke bank xxx saja an xxx no rek xxx kalau sudah ditransfer sms ke no ini ya,
555,transfer ke bni aja an soraya harum rek klo sdh kbrin di nmr ini ya,
556,transfer ke mandiri aja an resti amanda norek ,
557,transfer saja uangnya ke rek inimandirino rek andarman klau sdah di transfer sms saja ke nmor ini trima kasih,
558,transfernya ke bri aja an angga prastia no rek ,
559,trima ksh telah mjd pelanggan kami cnf aqua gnkan no untuk pemesanan air isi ulang dan agua asli n seda jga gas kg dan kg tlng sebarkan sms ini ke tmn kost n kampus jga ya jgn berhenti di km terima kashnbtlng save no pemesanan aqua bla suatu saat membutuhkan mkshgratis antar,
560,tselpoin kejutan poin hadiah rpjt resmi diberikan xxxxx pin bbc uinfo hubcs pttelkomsel pengirim ,
561,uangnya di trnsfer di bni ini aja an rastina norek klo sdh d trnsfer sms aja di no ini trmks,
562,uangnya dikirim aja ke rekening ini bankbni an safitri norekening ,
563,uangnya dikirim saja ke rek bank bni an sdr abdul rahman no rek sms saja kalau sudah dikirim terima kasih,
564,wassalamu alaikum wr wb uangnya dikirim saja ke no rek ini bri an nova aryaxxx xxx kalau sdh transfer sms aja di no ini trmh kasih” no hp pengirim sms ,
565,ya allah semoga yg mempunyai hp ini keluarganya selalu dalam kasih sayang mu diberkahi rejekinya dijauhkan dari mara bahaya jawab amin jika anda berkenan,
566,yank tlong isi’in aku pulsa rb di no ini nanti aq yg tlpn yacc,
567,yank tolong isi'in pulsa di no ini ini no baruqskrng penting,
568,yank isikan dl pulsa di no as ini nanti gw gantiinpenting bget nih krn barusan bos gw nelpon gw tgguin yach…,
569,yth bpkibu bni menyatakan rekening anda terpilih sebagai pemenang hadiah rp jt kode cek anda info klik ,
570,yth isti sofiyah diminta segera hubungi bpk drsh lalu safi’ i mpd kadisdik ntb perihal seminar gratis dari dikti bu sri tudiknas,
571,yth kpd bpkibu sy eka novitasari kariyawan care sudah m hub anda tdk tersambung dgn hormat hal ini kami sampaikan melalui sms singkat dr layanan kami bahwa selamat no anda m dptkan hadiah unit mobil toyota avanza dgn pinv dr undian rejeki care periode utama uinfo lebih lanjut kunjungi ,
572,ythmiitra silahkan cek poin anda dan tukarkan ke admin kami dengan format popin kirim ke xxxxxxxxxx,
573,yuk ikuti akun dakwah caranya ketik ikut spasi akucintaislam kirim ke ,
1030,sekalian aku mau nanya alur dari rawat inap ke lab sama radiologi kalau obat kan ga ada yang ngolah,
1031,sekalian liburannya ke malaysia juga wkwk,
1032,selain dicetak rundown jg dkrm ke email di nama nuhun dtgu d prodi sampai dipercepat menit,
1033,selain itu saya punya ide untuk menggabungkan beberapa device hp sebagai sumber sensor misal untuk deteksi longsor atau gempa ini terkait trend sekarang iot internet of thing silahkan bagi yg tertarik ,
1034,selamat pagi pak untuk data table yg dibutuhkan sudah saya email apakah email saya msk pak,
1035,selamat siang mau reservasi bandros perorangan apakah bisa,
